"Business Name","Owner Name","Email","Phone","City","County","State","Type","Website","Has Email","Outreach Channel","Subject","Body","Notes"
"Mint Condition Cleaning Services","Unknown","mintconditioncleanllc@gmail.com","(941) 318-0261","Port Charlotte","Charlotte","FL","Both","","Yes","Email","Quick question for Mint Condition Cleaning Services","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Port Charlotte and Charlotte County because I want real feedback from people who actually run the routes, not a focus group.

Tamiami Trail address and county vendor listing say you're in the thick of local Charlotte County work — curious how you currently track jobs and crews.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Charlotte County vendor list; 1825 Tamiami Trail Ste J"
"All Clean and Restoration, Corp.","Unknown","allcleanandrestoration@gmail.com","(941) 276-6060","Port Charlotte","Charlotte","FL","Both","https://allcleanandrestoration.com/","Yes","Email","Not a sales pitch — feedback ask for All Clean and Restoration","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Port Charlotte and Charlotte County because I want real feedback from people who actually run the routes, not a focus group.

Residential plus commercial cleaning and restoration out of Port Charlotte — coordinating those job types is exactly the day-to-day I'm trying to understand.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Eco products; office/school/church commercial; Charlotte County vendor"
"Violet's Cleaning Service of SWFL","Unknown","vcleaningservice8@gmail.com","(239) 281-4612","Lehigh Acres","Lee","FL","Residential","","Yes","Email","Running a cleaning company in Lehigh Acres — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Lehigh Acres and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Lehigh Acres–based and showing up on Charlotte County vendor lists — that kind of local ground game is who we're building for.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Lee County HQ; Charlotte County vendor list"
"Samaritan Cleaning Services","Unknown","samaritancs7@gmail.com","(815) 786-4612","Englewood","Charlotte","FL","Both","","Yes","Email","Quick question for Samaritan Cleaning Services","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Englewood and Charlotte County because I want real feedback from people who actually run the routes, not a focus group.

You're listed for Charlotte County facilities work out of Englewood — local operator feedback from that corridor matters.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Charlotte County vendor list; Englewood address"
"Ameri-Clean","Michael","mike@ameri-clean.net","(239) 936-3334","Fort Myers","Lee","FL","Both","https://naplesofficecleaning.com/","Yes","Email","Ameri-Clean — looking for a little feedback from Fort Myers","Hi Michael,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Since 1986 on commercial and floor care in SWFL — that longevity usually means you've already figured out what software is worth your time.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Owner Michael Bermudez; founded 1986; commercial + residential floor care"
"Cleaning Solutions of SW Florida, LLC","Unknown","101cleaningsolutions@gmail.com","(239) 321-4410","Cape Coral","Lee","FL","Both","","Yes","Email","Running a cleaning company in Cape Coral — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Cape Coral and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Cape Coral shop doing homes and offices on weekly/biweekly/monthly — coordinating recurring routes is the pain point we're trying to solve.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Facebook business page contact; weekly/biweekly/monthly + deep cleans"
"Diamond Shine Cleaning Enterprises LLC","Unknown","bookings@diamondshinecleaningfl.com","(239) 920-5229","Bonita Springs","Lee","FL","Both","https://www.diamondshinecleaningfl.com/","Yes","Email","Quick question for Diamond Shine Cleaning","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Bonita Springs and across Lee and Collier because I want real feedback from people who actually run the routes, not a focus group.

Vacation-rental turnovers plus residential and office work is a scheduling puzzle — I'd love your blunt take on whether our tool helps or fights that.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Bonita Springs HQ; Airbnb/VRBO + residential + commercial"
"Greenkleen","Unknown","asolis@greenkleen.us","(239) 280-6367","Naples","Collier","FL","Residential","https://greenkleen.us/","Yes","Email","Not a sales pitch — feedback ask for Greenkleen","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Naples and Collier County because I want real feedback from people who actually run the routes, not a focus group.

Nineteen-plus years and thousands of Naples homes — that kind of long-run residential book is exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Founded ~2006; eco residential; Naples HQ Burnt Pine Dr"
"Home Cleaners Express","Unknown","contact@homecleanersexpress.com","(239) 985-5537","Cape Coral","Lee","FL","Residential","https://homecleanersexpress.com/","Yes","Email","Running a cleaning company in Cape Coral — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Cape Coral and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Family-run with 20+ years across Cape Coral through Naples and online booking — curious how much of the day still lives outside that system.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Family-owned; Cape Coral address; online booking; Trustpilot contact"
"Southern Shine Cleaning LLC","Unknown","","(941) 623-7739","Port Charlotte","Charlotte","FL","Both","","No","Phone","","","Family-owned 8+ years; residential + construction clean; no public email found"
"Kare Teem Cleaning Service","Unknown","info@kareteem.com","(805) 678-8053","Naples","Collier","FL","Both","https://kareteem.com/","Yes","Email","Quick question for Kare Teem Cleaning Service","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Naples, Fort Myers, and Port Charlotte because I want real feedback from people who actually run the routes, not a focus group.

You list Bonita through Port Charlotte on your Florida service map — coordinating CA and FL teams is a unique ops problem I'd like your take on.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Family-run; CA HQ but lists SWFL cities including Naples/FM/PC; eco products"
"Alpha Unit Cleaners","Smith","","(941) 270-3222","Cape Coral","Lee","FL","Both","","No","Phone","","","Veteran-owned (Smith Paul); commercial + post-construction + residential; Lee County; no public email found"
"Two Maids Cleaning of Cape Coral & Fort Myers","Robin","","(239) 243-9402","Cape Coral","Lee","FL","Residential","https://twomaidscleaning.com/cape-coral/","No","Phone","","","Local franchisee Robin Slider; phone-only; capped franchise inclusion"
